system:index,NO2_mean,fecha,.geo
20190109T040959_20190115T060635,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T055129_20190115T074810,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T073259_20190115T092637,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T091429_20190115T105652,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T105559_20190115T130355,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T123729_20190115T145123,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T141859_20190115T160554,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T160029_20190115T174510,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T174159_20190115T193200,6.716709300112617E-6,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T192329_20190115T205935,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T210500_20190115T225012,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109T224630_20190116T004510,-9999,2019-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T002800_20190116T015827,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T020930_20190116T035512,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T035100_20190116T055441,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T053230_20190116T073105,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T071400_20190117T055555,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T085530_20190116T103253,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110T103700_20190116T123938,-9999,2019-01-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
